Model,Threshold,Accuracy,Macro_F1,Weighted_F1,Attack_Missed_as_Benign,Benign_False_Alarm,Infiltration_Recall
Two-stage XGBoost,0.3,0.8227812848124768,0.9060050618532712,0.831122051544168,517,3260,0.871
Two-stage XGBoost,0.4,0.8483104344597103,0.9105654689147571,0.851838130121359,1228,2000,0.694
Two-stage XGBoost,0.5,0.8553193464537691,0.9042476308514541,0.8496438790333399,1979,1102,0.509
Two-stage XGBoost,0.6,0.8495172669884887,0.8898129491169874,0.8310403208323904,2633,574,0.34625
